Word,N,Mean,SD
blossom,24,3.75,2.3819977
blot,23,2.608695652,1.947939014
blotch,24,2.333333333,1.551063216
blotter,24,3.5,2.553769592
blotting,25,2.6,2.140872096
blouse,23,6.47826087,0.994053466
blow,24,2.541666667,1.910592138
blower,25,4.48,1.960442127
blowfish,22,3.863636364,1.753783788
blowgun,24,4.625,2.163180026
blowhole,23,1.913043478,1.345465228
blowing,26,3.423076923,2.468571683
blown,22,2,1.5430335
blowpipe,27,5,1.519109051
blowtorch,24,5.541666667,1.473805092
blubber,25,3.48,2.063976744
bludgeon,21,2.714285714,2.077085871
blue,25,1.4,0.912870929
blueberry,25,6,1.527525232
bluebird,24,4.208333333,2.206298625
bluebook,22,4.227272727,2.068627753
bluefish,25,4.48,1.782320585
bluejay,25,4.2,1.870828693
blueprint,24,4.833333333,1.785610763
bluff,25,2.2,1.632993162
blunt,25,2.72,1.814754345
blur,24,1.875,1.483606065
blush,23,3,1.954016842
blushing,27,1.888888889,1.577079417
boa,27,4.333333333,1.941450687
boar,28,4.178571429,2.019416334
board,25,4.48,2.002498439
boardinghouse,23,4.565217391,1.727480745
boardroom,25,4.08,1.846618531
boardwalk,23,4.086956522,1.378834932
boat,23,5.130434783,2.051703235
boater,25,4.12,1.615549442
boathouse,23,4.52173913,1.903813523
boating,24,2.958333333,1.852827843
boatman,25,4.76,1.690167645
bob,22,3.318181818,2.317354067
bobcat,25,3.56,2.256102835
bobsleigh,25,5.64,1.604161255
bobtail,25,3.48,2.181742423
bodice,21,4.80952381,1.88730092
body,26,6.038461538,1.370569786
bodybuilder,24,4.958333333,1.921936674
bodyguard,25,4.72,1.926136028
bog,27,3.740740741,2.176669873
bogey,23,3.173913043,1.825381004
bogus,27,1.62962963,1.418236938
boil,25,2.6,1.755942292
boiling,24,2.291666667,1.654484464
bolero,15,3.666666667,1.988059595
bolt,27,4.925925926,2.302605981
bomb,26,4.384615385,1.790573608
bombardier,19,3.894736842,1.940639552
bomber,23,3.782608696,2.173320077
bombshell,23,2.652173913,1.84904633
bonbon,26,4.807692308,2.172910137
bond,24,1.791666667,1.350657382
bondage,24,3.5,2.085144141
bondsman,24,4.416666667,1.815792237
bone,27,5.259259259,2.067934544
boneless,24,2.5,2
bonfire,23,4,1.78376517
bong,25,5.6,1.58113883
bonnet,23,6.043478261,1.521908517
bonsai,22,3.909090909,2.20192753
bonus,27,1.814814815,1.331194866
bony,24,2.625,1.995919751
boogie,21,2.857142857,2.031888636
book,23,6.47826087,0.947223945
bookbinder,24,4.75,1.983628647
bookcase,25,5.56,1.635033129
bookend,24,5.291666667,1.966660526
bookie,21,4.142857143,2.151411497
bookkeeper,24,4.458333333,2.063748524
booklet,26,5.5,1.794435844
bookmaker,27,3.777777778,1.739436985
